,Date,Dollars per Million Btu
0,1997 01 06 Mon,
1,1997 01 07 Tue,3.82
2,1997 01 08 Wed,3.8
3,1997 01 09 Thu,3.61
4,1997 01 10 Fri,3.92
5,1997 01 13 Mon,4.0
6,1997 01 14 Tue,4.01
7,1997 01 15 Wed,4.34
8,1997 01 16 Thu,4.71
9,1997 01 17 Fri,3.91
10,1997 01 20 Mon,3.26
11,1997 01 21 Tue,2.99
12,1997 01 22 Wed,3.05
13,1997 01 23 Thu,2.96
14,1997 01 24 Fri,2.62
15,1997 01 27 Mon,2.98
16,1997 01 28 Tue,3.05
17,1997 01 29 Wed,2.91
18,1997 01 30 Thu,2.86
19,1997 01 31 Fri,2.77
20,1997 02 03 Mon,2.49
21,1997 02 04 Tue,2.59
22,1997 02 05 Wed,2.65
23,1997 02 06 Thu,2.51
24,1997 02 07 Fri,2.39
25,1997 02 10 Mon,2.42
26,1997 02 11 Tue,2.34
27,1997 02 12 Wed,2.42
28,1997 02 13 Thu,2.22
29,1997 02 14 Fri,2.12
30,1997 02 17 Mon,
31,1997 02 18 Tue,1.84
32,1997 02 19 Wed,1.95
33,1997 02 20 Thu,1.92
34,1997 02 21 Fri,1.92
35,1997 02 24 Mon,1.92
36,1997 02 25 Tue,1.77
37,1997 02 26 Wed,1.81
38,1997 02 27 Thu,1.8
39,1997 02 28 Fri,1.78
40,1997 03 03 Mon,1.8
41,1997 03 04 Tue,1.87
42,1997 03 05 Wed,1.92
43,1997 03 06 Thu,1.82
44,1997 03 07 Fri,1.89
45,1997 03 10 Mon,1.95
46,1997 03 11 Tue,1.92
47,1997 03 12 Wed,1.96
48,1997 03 13 Thu,1.98
49,1997 03 14 Fri,1.97
50,1997 03 17 Mon,2.01
51,1997 03 18 Tue,1.91
52,1997 03 19 Wed,1.88
53,1997 03 20 Thu,1.88
54,1997 03 21 Fri,1.87
55,1997 03 24 Mon,1.8
56,1997 03 25 Tue,1.85
57,1997 03 26 Wed,1.85
58,1997 03 27 Thu,1.84
59,1997 03 28 Fri,
60,1997 03 31 Mon,1.84
61,1997 04 01 Tue,1.95
62,1997 04 02 Wed,1.85
63,1997 04 03 Thu,1.87
64,1997 04 04 Fri,1.91
65,1997 04 07 Mon,1.99
66,1997 04 08 Tue,2.01
67,1997 04 09 Wed,1.96
68,1997 04 10 Thu,1.97
69,1997 04 11 Fri,1.98
70,1997 04 14 Mon,2.0
71,1997 04 15 Tue,2.0
72,1997 04 16 Wed,2.02
73,1997 04 17 Thu,2.08
74,1997 04 18 Fri,2.1
75,1997 04 21 Mon,2.09
76,1997 04 22 Tue,2.1
77,1997 04 23 Wed,2.22
78,1997 04 24 Thu,2.11
79,1997 04 25 Fri,2.16
80,1997 04 28 Mon,2.1
81,1997 04 29 Tue,2.09
82,1997 04 30 Wed,2.16
83,1997 05 01 Thu,2.19
84,1997 05 02 Fri,2.21
85,1997 05 05 Mon,2.23
86,1997 05 06 Tue,2.25
87,1997 05 07 Wed,2.34
88,1997 05 08 Thu,2.33
89,1997 05 09 Fri,2.3
90,1997 05 12 Mon,2.27
91,1997 05 13 Tue,2.18
92,1997 05 14 Wed,2.22
93,1997 05 15 Thu,2.25
94,1997 05 16 Fri,2.19
95,1997 05 19 Mon,2.25
96,1997 05 20 Tue,2.22
97,1997 05 21 Wed,2.21
98,1997 05 22 Thu,2.22
99,1997 05 23 Fri,2.2
100,1997 05 26 Mon,
101,1997 05 27 Tue,2.29
102,1997 05 28 Wed,2.34
103,1997 05 29 Thu,2.29
104,1997 05 30 Fri,2.23
105,1997 06 02 Mon,2.2
106,1997 06 03 Tue,2.11
107,1997 06 04 Wed,2.19
108,1997 06 05 Thu,2.18
109,1997 06 06 Fri,2.19
110,1997 06 09 Mon,2.19
111,1997 06 10 Tue,2.16
112,1997 06 11 Wed,2.16
113,1997 06 12 Thu,2.14
114,1997 06 13 Fri,2.15
115,1997 06 16 Mon,2.2
116,1997 06 17 Tue,2.2
117,1997 06 18 Wed,2.22
118,1997 06 19 Thu,2.23
119,1997 06 20 Fri,2.25
120,1997 06 23 Mon,2.29
121,1997 06 24 Tue,2.32
122,1997 06 25 Wed,2.32
123,1997 06 26 Thu,2.23
124,1997 06 27 Fri,2.17
125,1997 06 30 Mon,2.17
126,1997 07 01 Tue,2.16
127,1997 07 02 Wed,2.14
128,1997 07 03 Thu,2.11
129,1997 07 04 Fri,
130,1997 07 07 Mon,2.13
131,1997 07 08 Tue,2.13
132,1997 07 09 Wed,2.16
133,1997 07 10 Thu,2.15
134,1997 07 11 Fri,2.16
135,1997 07 14 Mon,2.18
136,1997 07 15 Tue,2.21
137,1997 07 16 Wed,2.24
138,1997 07 17 Thu,2.29
139,1997 07 18 Fri,2.26
140,1997 07 21 Mon,2.17
141,1997 07 22 Tue,2.18
142,1997 07 23 Wed,2.2
143,1997 07 24 Thu,2.24
144,1997 07 25 Fri,2.22
145,1997 07 28 Mon,2.19
146,1997 07 29 Tue,2.23
147,1997 07 30 Wed,2.19
148,1997 07 31 Thu,2.23
149,1997 08 01 Fri,2.24
150,1997 08 04 Mon,2.26
151,1997 08 05 Tue,2.33
152,1997 08 06 Wed,2.38
153,1997 08 07 Thu,2.5
154,1997 08 08 Fri,2.38
155,1997 08 11 Mon,2.53
156,1997 08 12 Tue,2.56
157,1997 08 13 Wed,2.45
158,1997 08 14 Thu,2.57
159,1997 08 15 Fri,2.53
160,1997 08 18 Mon,2.56
161,1997 08 19 Tue,2.61
162,1997 08 20 Wed,2.62
163,1997 08 21 Thu,2.45
164,1997 08 22 Fri,2.47
165,1997 08 25 Mon,2.53
166,1997 08 26 Tue,2.58
167,1997 08 27 Wed,2.51
168,1997 08 28 Thu,2.57
169,1997 08 29 Fri,2.69
170,1997 09 01 Mon,
171,1997 09 02 Tue,2.82
172,1997 09 03 Wed,2.86
173,1997 09 04 Thu,2.73
174,1997 09 05 Fri,2.67
175,1997 09 08 Mon,2.67
176,1997 09 09 Tue,2.74
177,1997 09 10 Wed,2.74
178,1997 09 11 Thu,2.78
179,1997 09 12 Fri,2.86
180,1997 09 15 Mon,2.88
181,1997 09 16 Tue,2.83
182,1997 09 17 Wed,2.75
183,1997 09 18 Thu,2.84
184,1997 09 19 Fri,2.94
185,1997 09 22 Mon,2.98
186,1997 09 23 Tue,3.09
187,1997 09 24 Wed,3.03
188,1997 09 25 Thu,3.05
189,1997 09 26 Fri,3.24
190,1997 09 29 Mon,3.09
191,1997 09 30 Tue,2.96
192,1997 10 01 Wed,3.08
193,1997 10 02 Thu,2.97
194,1997 10 03 Fri,2.91
195,1997 10 06 Mon,2.96
196,1997 10 07 Tue,2.81
197,1997 10 08 Wed,2.8
198,1997 10 09 Thu,2.8
199,1997 10 10 Fri,2.78
200,1997 10 13 Mon,2.87
201,1997 10 14 Tue,2.84
202,1997 10 15 Wed,2.84
203,1997 10 16 Thu,2.94
204,1997 10 17 Fri,2.97
205,1997 10 20 Mon,3.05
206,1997 10 21 Tue,3.13
207,1997 10 22 Wed,3.24
208,1997 10 23 Thu,3.34
209,1997 10 24 Fri,3.29
210,1997 10 27 Mon,3.46
211,1997 10 28 Tue,3.61
212,1997 10 29 Wed,3.45
213,1997 10 30 Thu,3.34
214,1997 10 31 Fri,3.22
215,1997 11 03 Mon,3.23
216,1997 11 04 Tue,3.15
217,1997 11 05 Wed,3.18
218,1997 11 06 Thu,3.2
219,1997 11 07 Fri,3.05
220,1997 11 10 Mon,3.2
221,1997 11 11 Tue,3.26
222,1997 11 12 Wed,3.28
223,1997 11 13 Thu,3.27
224,1997 11 14 Fri,3.25
225,1997 11 17 Mon,3.1
226,1997 11 18 Tue,3.0
227,1997 11 19 Wed,2.97
228,1997 11 20 Thu,2.77
229,1997 11 21 Fri,2.59
230,1997 11 24 Mon,2.63
231,1997 11 25 Tue,2.51
